fattree-281sw,MAX_CPU,18,8,0.947368421053,0.782574224022,0.347810766232,9010,0.632043;0.757894736842,0.689743589744,1.93157894737,1.62820512821,0.757894736842,0.689743589744,1.94736842105,1.56923076923,0.894736842105,0.692307692308,1.93684210526,1.64871794872,0.894736842105,0.753846153846,1.94736842105,1.65128205128,0.773684210526,0.761538461538
fattree-281sw,C90,18,0,0,0,0,8980,0.632043;0.731578947368,0.764102564103,0.947368421053,0.907692307692,0.810526315789,0.894871794872,0.947368421053,0.782051282051,0.689473684211,0.766666666667,0.947368421053,0.846153846154,0.894736842105,0.835897435897,0.889473684211,0.894871794872,0.894736842105,0.802564102564
fattree-281sw,MAX_CPU_N,18,5,0.252631578947,0.218947368421,0.0608187134503,9010,0.632043;1.23684210526,0.869230769231,0.821052631579,0.65641025641,1.13157894737,0.969230769231,0.821052631579,0.661538461538,1.23684210526,0.905128205128,0.821052631579,0.664102564103,1.23684210526,0.974358974359,0.826315789474,0.664102564103,1.25263157895,0.974358974359
fattree-320sw,WATERFALL,14,0,0,0,0,10190,53.521395;0,0.892307692308,0.852631578947,0.947435897436,0,0.982051282051,0.965789473684,0.974358974359,0,0.982051282051,0.965789473684,0.958974358974,0,0.982051282051,0.965789473684,0.991025641026,0,0.982051282051,0,0.991025641026,0
fattree-320sw,BALANCED,21,9,0.921052631579,0.643859649123,0.275939849624,10570,0.654324;1.77894736842,0.825641025641,1.18421052632,0.461538461538,1.92105263158,0.784615384615,1.18421052632,0.548717948718,1.77894736842,0.825641025641,1.0,0.548717948718,1.92105263158,0.825641025641,1.0,0.548717948718,1.92105263158,0.825641025641,1.18421052632,0.548717948718,1.92105263158
fattree-320sw,MAX_CPU,21,10,1.02631578947,0.780728744939,0.371775592828,11030,0.654324;0.805263157895,0.784615384615,2.02631578947,1.5641025641,0.842105263158,0.784615384615,2.02631578947,1.60769230769,0.878947368421,0.789743589744,2.02631578947,1.62820512821,0.947368421053,0.784615384615,1.75263157895,1.69487179487,0.947368421053,0.723076923077,1.85263157895,1.62820512821,0.984210526316
fattree-320sw,C90,20,0,0,0,0,11250,0.654324;0.705263157895,0.820512820513,0.931578947368,0.958974358974,0.842105263158,0.902564102564,0.931578947368,0.869230769231,0.705263157895,0.815384615385,0.994736842105,0.987179487179,0.705263157895,0.907692307692,0.994736842105,0.987179487179,0.705263157895,0.871794871795,0.994736842105,0.9,0
fattree-320sw,MAX_CPU_N,21,8,0.389473684211,0.27798582996,0.105899363794,10960,0.654324;1.32105263158,1.04871794872,0.863157894737,0.64358974359,1.32105263158,0.930769230769,0.863157894737,0.584615384615,1.32105263158,1.04358974359,0.926315789474,0.612820512821,1.38947368421,0.928205128205,0.926315789474,0.730769230769,1.38947368421,0.95641025641,0.926315789474,0.612820512821,1.38947368421
jellyfish-230sw,WATERFALL,6,0,0,0,0,2760,23.601121;0,0.874358974359,0.994736842105,0.980769230769,0,0.95641025641,0.931578947368,0.989743589744,0
jellyfish-230sw,BALANCED,9,5,0.8,0.475789473684,0.26432748538,3300,0.586936;1.66842105263,0.810256410256,1.11052631579,0.610256410256,1.8,0.823076923077,1.15263157895,0.576923076923,1.64736842105
